screen,resource_id,short_id,element_class,text,content_desc,clickable,focusable,scrollable,selected,enabled,bounds,inferred_functionality,automation_note,original_resource_id,original_short_id,mockin_mapping_confidence,mockin_mapping_note
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.widget.LinearLayout,,,false,false,false,false,true,"[0,0][1080,2340]",Layout/container or decorative element,Prefer resource-id locator,com.linkedin.android:id/action_bar_root,action_bar_root,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.widget.FrameLayout,,,false,false,false,false,true,"[0,0][1080,2340]",Layout/container or decorative element,Prefer resource-id locator,android:id/content,content,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.widget.LinearLayout,,,false,false,false,false,true,"[0,0][1080,2340]",Layout/container or decorative element,Prefer resource-id locator,com.linkedin.android:id/infra_main_activity_root,infra_main_activity_root,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.widget.LinearLayout,,,false,false,false,false,true,"[0,0][1080,2340]",Layout/container or decorative element,Prefer resource-id locator,com.linkedin.android:id/infra_activity_background,infra_activity_background,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.widget.FrameLayout,,,false,false,false,false,true,"[0,0][1080,2340]",Layout/container or decorative element,Prefer resource-id locator,com.linkedin.android:id/infra_activity_container,infra_activity_container,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,androidx.drawerlayout.widget.DrawerLayout,,,false,false,false,false,true,"[0,0][1080,2340]",Main drawer layout container,Prefer resource-id locator,com.linkedin.android:id/home_drawer_layout,home_drawer_layout,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.widget.ScrollView,,,false,false,false,false,true,"[0,0][1080,2340]",Main scrollable content area,Prefer resource-id locator,com.linkedin.android:id/main_content,main_content,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.widget.LinearLayout,,,false,false,false,false,true,"[0,0][1080,224]",Top app bar / toolbar container,Prefer resource-id locator,com.linkedin.android:id/app_bar_layout,app_bar_layout,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.widget.FrameLayout,,,false,false,false,false,true,"[0,0][1080,224]",Top app bar / toolbar container,Prefer resource-id locator,com.linkedin.android:id/collapsing_toolbar_layout,collapsing_toolbar_layout,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.widget.LinearLayout,,,false,false,false,false,true,"[0,100][1080,224]",Top app bar / toolbar container,Prefer resource-id locator,com.linkedin.android:id/home_top_bar_container,home_top_bar_container,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.widget.LinearLayout,,,false,false,false,false,true,"[0,100][1080,224]",Top app bar / toolbar container,Prefer resource-id locator,com.linkedin.android:id/home_top_bar,home_top_bar,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.widget.Button,,Menu button: Access my profile and other navigation links,true,true,false,false,true,"[0,100][169,224]",Open profile/menu navigation drawer,Prefer resource-id locator,com.linkedin.android:id/me_launcher_container,me_launcher_container,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.widget.ImageView,,My Profile and Communities,false,false,false,false,true,"[0,100][169,224]",Open profile/menu navigation drawer,Prefer resource-id locator,com.linkedin.android:id/me_launcher,me_launcher,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/search_input,search_input,android.widget.LinearLayout,,,false,false,false,false,true,"[169,100][911,224]","Open/search LinkedIn content: people, jobs, posts, etc.",Prefer resource-id locator,com.linkedin.android:id/search_open_bar_box_container,search_open_bar_box_container,high,Search/open-search control maps to MockIn search_input.
LinkedIn Android - Main/Home page,com.mockin.app:id/search_input,search_input,android.widget.LinearLayout,,,true,true,false,false,true,"[169,100][911,224]","Open/search LinkedIn content: people, jobs, posts, etc.",Prefer resource-id locator,com.linkedin.android:id/search_open_bar_box,search_open_bar_box,high,Search/open-search control maps to MockIn search_input.
LinkedIn Android - Main/Home page,com.mockin.app:id/search_input,search_input,android.widget.Button,,"Search for people, jobs, posts, and more",false,false,false,false,true,"[169,117][911,207]","Open/search LinkedIn content: people, jobs, posts, etc.",Prefer resource-id locator,com.linkedin.android:id/search_bar,search_bar,high,Search/open-search control maps to MockIn search_input.
LinkedIn Android - Main/Home page,com.mockin.app:id/search_input,search_input,android.widget.ImageView,,,false,false,false,false,true,"[202,139][247,184]","Open/search LinkedIn content: people, jobs, posts, etc.",Prefer resource-id locator,com.linkedin.android:id/search_icon,search_icon,high,Search/open-search control maps to MockIn search_input.
LinkedIn Android - Main/Home page,com.mockin.app:id/search_input,search_input,android.widget.TextView,Search,,false,false,false,false,true,"[270,131][877,192]","Open/search LinkedIn content: people, jobs, posts, etc.",Prefer resource-id locator,com.linkedin.android:id/search_bar_text,search_bar_text,high,Search/open-search control maps to MockIn search_input.
LinkedIn Android - Main/Home page,com.mockin.app:id/messages_button,messages_button,android.widget.Button,,messaging,true,true,false,false,true,"[911,100][1080,224]",Open LinkedIn messaging/inbox,Prefer resource-id locator,com.linkedin.android:id/home_messaging,home_messaging,high,Open messaging maps to MockIn messages_button.
LinkedIn Android - Main/Home page,com.mockin.app:id/notifications_page,notifications_page,android.widget.ImageView,,,false,false,false,false,true,"[962,128][1030,196]",Layout/container or decorative element,Prefer resource-id locator,com.linkedin.android:id/ad_notification_badge_icon,ad_notification_badge_icon,medium,Notification content maps to MockIn notifications_page.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.widget.FrameLayout,,,false,false,false,false,true,"[0,224][1080,2340]",Main home/feed fragment container,Prefer resource-id locator,com.linkedin.android:id/home_nav_item_fragment_container,home_nav_item_fragment_container,high,Home/feed list maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_profile_link,feed_profile_link,androidx.compose.ui.platform.ComposeView,,,false,false,false,false,true,"[0,224][1080,2160]",LinkedIn server-driven Compose feed view container,Prefer resource-id locator,com.linkedin.android:id/sdui_compose_view,sdui_compose_view,high,Opening a profile from feed maps to MockIn feed_profile_link.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.view.View,,,false,false,true,false,true,"[0,224][1080,2160]",Scrollable feed list container,Use resource-id/custom id if framework supports it,sdui:lazyColumn,sdui:lazyColumn,high,Home/feed list maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.view.View,,,true,true,false,false,true,"[0,225][1080,352]",Clickable UI element; purpose inferred from nearby text/description,No resource-id; use content-desc/text/bounds hierarchy fallback,,,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_profile_link,feed_profile_link,android.widget.Button,,View Soma Mahajan’s profile,true,true,false,false,true,"[1,225][136,352]",Open visible member profile,No resource-id; use content-desc/text/bounds hierarchy fallback,,,high,Opening a profile from feed maps to MockIn feed_profile_link.
LinkedIn Android - Main/Home page,com.mockin.app:id/repost_button,repost_button,android.widget.TextView,Soma Mahajan reposted this,,false,false,false,false,true,"[125,269][868,316]",Visible text/content element,No resource-id; use content-desc/text/bounds hierarchy fallback,,,high,Repost action/content maps to MockIn repost_button.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.view.View,,,true,true,false,false,true,"[868,225][957,352]",Clickable UI element; purpose inferred from nearby text/description,No resource-id; use content-desc/text/bounds hierarchy fallback,,,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_profile_link,feed_profile_link,android.view.View,,View more options,false,false,false,false,true,"[890,247][980,337]",Open post overflow/more options menu,No resource-id; use content-desc/text/bounds hierarchy fallback,,,high,Opening a profile from feed maps to MockIn feed_profile_link.
LinkedIn Android - Main/Home page,com.mockin.app:id/feed_list,feed_list,android.view.View,,,true,true,false,false,true,"[957,224][1080,352]",Clickable UI element; purpose inferred from nearby text/description,No resource-id; use content-desc/text/bounds hierarchy fallback,,,medium,Generic home screen container maps to MockIn feed_list.
LinkedIn Android - Main/Home page,com.mockin.app:id/post_card,post_card,android.view.View,,Hide Post,false,false,false,false,true,"[979,246][1069,336]",Hide current feed post,No resource-id; use content-desc/text/bounds hierarchy fallback,,,medium,Feed/post content maps to MockIn post_card; MockIn lacks exact sub-action for this row.
